YEAR,DATE,,EVENT,TYPE,OPP,VENUE,CITY,COUNTRY,NZ.SCORE,OPP.SCORE,COACH,CAPTAIN
2022,Aug 2,,Commonwealth Games,,TTO,NEC Arena,Birmingham,ENG,,,,
2022,Aug 1,,Commonwealth Games,,MAW,NEC Arena,Birmingham,ENG,69,50,D. Taurua,G. Crampton / G. Crampton
2022,Jul 30,,Commonwealth Games,,UGA,NEC Arena,Birmingham,ENG,53,40,D. Taurua,G. Crampton
2022,Jul 29,,Commonwealth Games,,NIR,NEC Arena,Birmingham,ENG,79,20,D. Taurua,G. Crampton
2022,Jul 16,,Cadbury Netball Series*,Final,NZ Men,Pulman Arena,Auckland,NZL,48,67,,
2022,Jul 15,,Cadbury Netball Series*,,Mixed Invitational,Pulman Arena,Auckland,NZL,68,59,,
2022,Jul 14,,Cadbury Netball Series*,,NZ Men,Pulman Arena,Auckland,NZL,46,61,D. Fuller,G. Crampton
2022,Jul 13,,Cadbury Netball Series*,,NZA,Pulman Arena,Auckland,NZL,67,48,D. Fuller,G. Crampton
2022,Jan 19,,Quad Series,,RSA,Copper Box Arena,London,ENG,51,50,D. Taurua,G. Crampton
2022,Jan 18,,Quad Series,,RSA,Copper Box Arena,London,ENG,54,43,D. Taurua,G. Crampton
2022,Jan 16,,Quad Series,,ENG,Copper Box Arena,London,ENG,46,49,D. Taurua,G. Crampton
2022,Jan 15,,Quad Series,,AUS,Copper Box Arena,London,ENG,39,53,D. Taurua,G. Crampton
2021,Oct 12,,Cadbury Netball Series*,,NZ Men,TSB Arena,Wellington,NZL,53,57,D. Taurua,
2021,Oct 11,,Cadbury Netball Series*,,NZ Men,TSB Arena,Wellington,NZL,59,58,D. Taurua,
2021,Oct 10,,Cadbury Netball Series*,,NZ Men,TSB Arena,Wellington,NZL,58,47,D. Taurua,
2021,Sep 24,,Taini Jamison Trophy,,ENG,Christchurch Arena,Christchurch,NZL,45,49,D. Taurua,S. Winders
2021,Sep 22,,Taini Jamison Trophy,,ENG,Christchurch Arena,Christchurch,NZL,45,55,D. Taurua,S. Fitzpatrick
2021,Sep 20,,Taini Jamison Trophy,,ENG,Christchurch Arena,Christchurch,NZL,48,42,D. Taurua,G. Crampton
2021,Mar 7,,Constellation Cup,,AUS,Christchurch Arena,Christchurch,NZL,45,43,D. Taurua,A. Ekenasio
2021,Mar 6,,Constellation Cup,,AUS,Christchurch Arena,Christchurch,NZL,55,49,D. Taurua,A. Ekenasio
2021,Mar 3,,Constellation Cup,,AUS,Christchurch Arena,Christchurch,NZL,36,45,D. Taurua,J. Watson / G. Crampton
2021,Mar 2,,Constellation Cup,,AUS,Christchurch Arena,Christchurch,NZL,49,44,D. Taurua,A. Ekenasio
2020,Nov 1,,Taini Jamison Trophy,,ENG,Claudelands Arena,Hamilton,NZL,62,47,D. Taurua,A. Ekenasio
2020,Oct 30,,Taini Jamison Trophy,,ENG,Claudelands Arena,Hamilton,NZL,54,47,D. Taurua,A. Ekenasio
2020,Oct 28,,Taini Jamison Trophy,,ENG,Claudelands Arena,Hamilton,NZL,58,45,D. Taurua,A. Ekenasio
2020,Oct 24,,Cadbury Netball Series*,,NZ Men,Fly Palmy Arena,Palmerston North,NZL,55,52,D. Taurua,
2020,Oct 23,,Cadbury Netball Series*,,NZ U21,Fly Palmy Arena,Palmerston North,NZL,81,33,D. Taurua,J. Watson*
2020,Oct 22,,Cadbury Netball Series*,,NZ Men,Fly Palmy Arena,Palmerston North,NZL,47,60,D. Taurua,A. Ekenasio
2020,Oct 21,,Cadbury Netball Series*,,NZA,Fly Palmy Arena,Palmerston North,NZL,59,44,D. Taurua,A. Ekenasio
